Rank,Team,Player,Fantasy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
93,DET,Jameson Williams,WR,6.09,8,25,214,629,"1,027","1,859","It took HC Dan Campbell's play-calling to finally unlock Williams, but he showed promise once he became a featured part of Detroit's offense. Under Campbell's playcalling, Williams averaged 16.1 PPR points per game (WR5) and posted three of his four 100-yard performances. Williams remains an elite deep threat, but he also ran the fifth-most routes in '25. He's improved every season and showcased why he should be an important part of Detroit's future. He's signed through the 2029 season.",28
94,RK,David Bailey,LB,N/A,18,22.6,undefined,404,682,1295,,28
95,CAR,Trevin Wallace,LB,N/A,14,23.1,undefined,412,682,1278,,28
96,TB,Tykee Smith,DB,N/A,9,25.2,undefined,475,764,1317,,28
97,RK,Jordyn Tyson,WR,6.07,18,21.7,198,593,"1,013","2,039","Tyson excelled at Arizona State in 2024, notching 74 catches for 1,101 yards and 10 TDs. He looked headed for another big year in 2025 after scoring 7 TDs in five games, but a hamstring injury ruined those plans. That setback adds to an extensive injury history that includes a torn ACL, PCL, and MCL in 2022, plus a broken collarbone in 2024. When healthy, Tyson shows good size, runs well enough to separate, and creates after the catch. That combination gives him top-20 potential in the NFL Draft.",27
98,BUF,Dalton Kincaid,TE,9.04,7,26.5,192,533,841,"1,463","Kincaid endured another injury-marred season in 2025, missing time with oblique and hamstring injuries. He still flashed upside with two 100-yard games, but never saw more than six targets in any outing despite Buffalo’s shaky WR depth. When healthy, Kincaid can produce as a fantasy starter. But the injury history leaves us skeptical that he'll ever deliver on his high-end TE1 potential.",27
99,LAC,Oronde Gadsden II,TE,8.01,12,22.8,181,469,861,"1,674","Gadsden flashed elite fantasy potential early in the season, but it ended with a whimper. Overall, his 47-641-3 stat line is solid for a Round 5 pick who wasn't even active until late September. Los Angeles added TE Charlie Kolar in free agency, but he's expected to be a main contributor in the run game.",27
100,LAR,Kyren Williams,RB,6.03,8,25.6,229,458,708,"1,214","Williams further solidified himself as a top RB in 2024, logging 1,481 scrimmage yards and 16 TDs. L.A. spent a Round 3 pick on Blake Corum, but he was lightly used throughout the season. Williams signed an extension in August of '25, but Corum earned a larger piece of the backfield work. Still, Williams delivered 1,252 yards and hit double-digit TDs for the third straight season. We expect similar backfield usage in 2026.",27
101,DAL,Jake Ferguson,TE,9.11,10,27.3,200,554,831,"1,366","The Cowboys offensive resurgence translated to production from Ferguson. He went 81-595-8 on 100 targets during the fantasy season. He didn't display any amazing athletic skills, but Ferguson's soft hands and good route running made him a reliable option for Dak Prescott. Ferguson signed a four-year extension and is locked in with the Cowboys long term.",27
102,MIN,Kyler Murray,QB,7.12,6,28.7,282,840,"1,352","2,253","Murray was a huge disappointment in 2024, right alongside an underwhelming Marvin Harrison Jr. That trend continued in 2025, this time with the QB missing most of the season with a foot injury. Arizona released Murray in March, but he should find a starting job in free agency.",27
103,NO,Kool-Aid McKinstry,DB,N/A,11,23.5,undefined,472,751,1326,,27
104,TEN,Cameron Ward,QB,6.12,10,23.8,262,788,"1,332","2,572","Ward’s college journey took him from Incarnate Word to Washington State to Miami. The top pick improved at each stop, throwing for 4,313 yards, 39 TDs, and seven INTs for the Hurricanes in 2024. Ward showed the ability to extend plays and make accurate throws all over the field. Ultimately, Ward's rookie tape showed extreme highs and lows, but he simply wasn't surrounded by a quality pass-catching group. This offseason brought the arrival of OC Brian Daboll and a slot upgrade in Wan'Dale Robinson.",26
105,SEA,Sam Darnold,QB,7.08,8,28.8,260,810,"1,317","2,518","Darnold followed up his breakout 2024 with a solid '25. The former third overall pick threw for 4,048 yards, 25 TDs, and 14 INTs with a 67.6% completion rate. He finished QB13 in total fantasy points; QB20 in points per game. We don't see a high ceiling here, but Darnold should supply serviceable fantasy totals in the near term. Seattle retained Rashid Shaheed on a multi-year deal.",26
106,CHI,Devin Bush,LB,N/A,5,27.8,undefined,420,648,1035,,26
107,MIA,Malik Willis,QB,8.08,12,26.8,268,821,"1,314","2,244","Willis has proven effective as a spot-starter for Green Bay over the past two seasons. He peaked in Week 17 of last season with a 36.4-point fantasy effort vs. Baltimore. Now in Miami, Willis has a chance to establish himself as the starter for multiple seasons. The bulk of his fantasy appeal comes from high-end rushing upside.",25
108,MIA,Tyrel Dodson,LB,N/A,12,27.8,undefined,414,640,1021,,25
109,DET,Aidan Hutchinson,DL,6.10,8,25.7,undefined,468,772,1176,,25
110,CAR,Bryce Young,QB,8.03,14,24.7,244,759,"1,283","2,477","Young's rookie year was nothing short of a disaster: 2,877 yards, 11 TDs, and 11 INTs across 16 games. HC Dave Canales arrived to help Young post a promising 2024 – particularly later in the season. From Week 12 on, the 'Bama product ranked sixth in QB fantasy points. His supporting cast received a boost with the arrival of Round 1 WR Tetairoa McMillan in 2025. Still, he underwhelmed for fantasy with a QB18 finish. We're not expecting a major breakout in the fall.",24
111,LAR,Matthew Stafford,QB,8.04,8,38.2,303,845,"1,273","1,905","Stafford is under contract through the 2026 season and continued to look excellent in 2025. He finished the regular season with 4,707 yards and a career-high 46 TD passes. He'll play next season at 38 years old.",24
112,MIN,Blake Cashman,LB,N/A,6,29.9,undefined,406,607,900,,24
113,NYG,Tremaine Edmunds,LB,N/A,14,27.9,undefined,400,618,986,,23
114,BAL,Kyle Hamilton,DB,N/A,7,25.1,undefined,443,709,1220,,23
115,HOU,Will Anderson Jr.,DL,9.09,6,24.6,undefined,439,737,1207,,23
116,JAC,Brian Thomas Jr.,WR,6.02,8,23.5,187,572,951,"1,847","After a dynamic rookie showing, Thomas was one of the most disappointing players in 2025. He missed three games with an ankle injury, but when he did play, he struggled in Liam Coen's offense. Thomas dropped to 45th in target rate (20.4%), had zero games with more than 90 receiving yards, and was tied for worst in the league with 10 drops. Thomas showcased dynamic ability as a rookie and is still only 23, but his dynasty value took a massive hit in 2025.",22
117,ARI,Marvin Harrison Jr.,WR,5.11,8,23.7,201,563,939,"1,803","Injuries derailed Harrison's sophomore season, but his play also raised serious concerns. Harrison doesn't create separation or create after the catch. He ranked 70th with 1.6 yards after catch per target and dropped to 43rd with 10.5 PPR points per game. Meanwhile, lightly-regarded teammate Michael Wilson thrived with a new QB, planting further doubts about Harrison's future. The Cardinals will also be breaking in a new HC and are likely to part ways with QB Kyler Murray. Harrison has not lived up to his draft billing in his first two seasons and should be considered a risky candidate to rebound in what looks to be a tumultuous third season in Arizona.",22
118,LAR,Nathan Landman,LB,N/A,8,27.4,undefined,399,624,1029,,22
119,DEN,Nik Bonitto,DL,11.04,12,26.5,undefined,419,651,931,,22
120,DAL,DeMarvion Overshown,LB,N/A,10,25.7,undefined,380,602,1025,,22
121,BUF,Cole Bishop,DB,N/A,7,23.4,undefined,431,712,1330,,22
122,IND,Daniel Jones,QB,8.09,11,28.8,278,710,"1,159","2,251","Jones' 2023 was derailed by a mid-season ACL tear. Back healthy for a make-or-break 2024, Jones again struggled to prove he's a long-term answer. Then, in a stunning turn, Jones assembled an excellent run in 2025. In 13 games, he racked up 3,101 yards, 19 TDs, 8 INTs, and a 68% completion rate. A torn right Achilles complicates his '26 outlook, but we at least know he'll return to Indy after inking a two-year deal in March.",21
123,NYG,Brian Burns,DL,12.11,14,27.9,undefined,478,686,961,,21
124,TB,Sirvocea Dennis,LB,N/A,9,26.1,undefined,384,608,1036,,21
125,BAL,Nate Wiggins,DB,N/A,7,22.6,undefined,434,710,1273,,21
126,LAC,Tuli Tuipulotu,DL,23.03,12,23.6,undefined,404,677,1212,,21
127,DET,Brian Branch,DB,N/A,8,24.4,undefined,426,696,1240,,21
128,PIT,Patrick Queen,LB,N/A,5,26.7,undefined,392,614,1011,,21
129,CHI,Rome Odunze,WR,5.07,5,23.8,205,559,916,"1,714","Through 12 games, Odunze was averaging 12.2 PPR points per game (WR22) with a pair of 100-yard outings and six TDs. But a foot injury resulted in Odunze missing Chicago's last five regular-season games. Still, he was undoubtedly Chicago's top WR in his first season in Ben Johnson's offense, cementing his status as an ascending young WR and dynasty asset.",20
130,NYG,Cameron Skattebo,RB,7.03,14,24.2,202,407,638,"1,030","Skattebo earned plenty of hype as a hard-nosed runner with 1,711 rushing yards in 2024. Arizona State utilized him in the passing game, too, but he didn't display top-notch athleticism. Skattebo did post a strong 39.5"" vertical at the NFL Combine. While his Round 4 draft capital wasn't ideal, Skattebo looked like an NFL back in brief 2025 action. He missed most of the season with a serious ankle injury and will push to earn touches for a new staff in 2026.",20
131,ATL,Michael Penix Jr.,QB,13.05,5,25.9,138,720,"1,176","2,213","Penix dealt with four season-ending injuries during his time at Indiana (two shoulder injuries and two ACL tears). Healthy at Washington over his final two college seasons, Penix displayed effortless arm strength and excellent decision-making. As a rookie, he displayed a downfield, attacking style in a brief late-season sample. But his 2025 ended with a mid-season ACL tear. While Penix may remain Atlanta's starter in 2026, he's yet to establish himself as the long-term answer.",20
132,SF,Ricky Pearsall,WR,9.05,14,25.6,208,555,905,"1,672","Injuries derailed Pearsall again in his second season. Having only played 20 of a possible 34 games in two seasons, Pearsall's inability to get on the field remains the biggest concern. When healthy, Pearsall showed promise, topping 85 yards and 13 PPR points in four of nine starts. However, he was also held to fewer than five PPR points in three. If he can ever get -- and stay -- healthy, Pearsall has dynamic WR2 potential. But until he plays a full season, Perasall remains a risk/reward dynasty target.",20
133,DEN,RJ Harvey,RB,7.10,12,25.2,176,460,655,837,"Harvey was a surprise second-round pick, but two straight years of 1,400 rushing yards and good receiving skills made him a fit for HC Sean Payton’s offense. His workload increased after J.K. Dobbins sustained a mid-season injury, and the rookie showed well with 12 total scores. Long-term, we don't expect Harvey to become a workhorse. In the short term, he figures to remain in a split backfield alongside Dobbins.",20
134,RK,Omar Cooper Jr.,WR,8.10,18,22.3,173,545,913,"1,779","Cooper led Indiana in receiving this year going 64-866-13. His body control and hands led him to being a major target for Heisman QB Fernano Mendoza, especially in the red zone. Cooper profiles as an NFL contributor, even if he doesn't have the speed to be a No. 1.",20
135,RK,Avieon Terrell,DB,N/A,18,21.3,undefined,415,696,1354,,20
136,RK,Anthony Hill Jr.,LB,N/A,18,21.2,undefined,338,584,1177,,20
137,RK,Ty Simpson,QB,10.12,18,23.3,162,676,"1,147","2,270","Simpson flashed elite ball placement and mechanics at Alabama, but heading into the NFL Draft with only 15 starts is concerning. He threw for 3,567 yards with 28 TDs and 5 INTs this past season. Simpson has a good pocket presence and scrambling abilities, but his lack of experience shows in holding onto the ball too long. He could go in the first round or fall to Day 2, making him a risky bet.",19
138,BAL,Derrick Henry,RB,7.11,7,32.3,253,409,539,877,"Even at 31, Henry put together a masterful 2024 (325-1,921-16). He brushed off age/decline concerns to drop another strong season in 2025 -- this time with 16 rushing TDs and 5.2 YPC. Henry remains year to year at this stage of his career. We'll see how he meshes with a brand-new coaching staff after the firing of John Harbaugh.",19
139,LVR,Maxx Crosby,DL,6.12,8,28.6,undefined,452,610,851,,19
140,IND,Laiatu Latu,DL,20.06,11,25.3,undefined,380,638,1132,,19
141,MIN,J.J. McCarthy,QB,13.07,6,23.2,34,731,"1,221","2,382","McCarthy wasn’t asked to carry a Michigan squad led by a strong defense and run game. Still, the two-year starter flashed a power arm and the ability to execute pro-style concepts under HC Jim Harbaugh. 2024 was a developmental year on IR, while the 22-year-old performed as a below-average starter in a limited '25 sample. There's a real chance he's not starting in 2026.",18
142,SF,George Kittle,TE,10.05,14,32.5,179,529,769,"1,068","Kittle tallied 57 catches, 628 yards, and 7 TDs across 11 games in 2025. His season ended with a torn right Achilles in the Wild Card Round. It's the type of severe injury that leaves his short-term effectiveness in question. Still, there's at least a chance he returns for Week 1. We'll monitor Kittle's rehab closely.",18
143,RK,KC Concepcion,WR,8.02,18,21.5,174,518,884,"1,750","Concepcion flashed at NC State but really came into his own at Texas A&M this year. He went 61-919-9 as a receiver. Concepcion also ran 10 times for 75 yards and a TD. He also is an elite returner who had two TDs this year. Concepcion is a Percy Harvin-level weapon who may end up being a high-end offensive weapon. His role and team will be key, but Concepcion has plenty fantasy upside if he is a first round pick.",18
144,DAL,Javonte Williams,RB,6.10,10,25.9,246,409,583,745,"Williams delivered a bounce-back season with Dallas in 2025. He recorded career highs in carries (252), yards (1,201), yards per carry (4.8), and TDs (11). Williams signed a three-year deal with Dallas ahead of free agency, tying him to the team through the 2028 season.",18
145,WAS,Terry McLaurin,WR,9.10,12,30.6,209,571,883,"1,436","Coming off his 2024 breakout, injuries derailed McLaurin in 2025. He missed seven games and fell to a career-low 11.4 PPR points per game. His streak of five straight seasons with 110-plus targets and 1,000-plus receiving yards ended, and McLaurin failed to top 100 yards in any of his 10 games. QB Jayden Daniels missed more than half of the season, and promoted QB coach David Blough to replace Kliff Kingsbury. Deebo Samuel is also a free agent, adding to Washington's uncertainty. McLaurin will be back as the team's No. 1 WR in 2026, but in his age-31 season, he should be viewed as a declining dynasty asset.",18
146,CIN,Barrett Carter,LB,N/A,10,23.4,undefined,347,573,1074,,18
147,BUF,Gregory Rousseau,DL,14.09,7,26,undefined,392,646,985,,18
148,CLE,Myles Garrett,DL,8.02,9,30.3,undefined,428,556,804,,18
149,BUF,Terrel Bernard,LB,N/A,7,26.9,undefined,363,568,936,,18
150,NYG,Abdul Carter,DL,13.01,14,22.5,undefined,351,600,1189,,18
151,HOU,Kamari Lassiter,DB,N/A,6,23.2,undefined,407,666,1203,,18
152,PHI,Jalen Carter,DL,25.07,9,25,undefined,381,613,1026,,18
153,GB,Christian Watson,WR,9.01,5,26.9,215,564,878,"1,441",Watson only played 10 games this season after suffering an ACL tear at the end of last season. Watson ended the season as WR19 in PPR points per game overtaking Matthew Golden. Watson signed a one-year extension keeping him on the Packers in 2026. Watson's athleticism makes him a high upside dynasty stash though his injury history is extensive.,17
154,NO,Travis Etienne,RB,7.01,11,27.2,242,435,524,735,"Etienne missed time with a hamstring in 2024 and was outplayed by Tank Bigsby for parts of the season. Come 2025, Etienne watched Bigbsy depart via a September trade. While rookie Bhayshul Tuten replaced Bigsby as a rotational piece, Etienne still delivered the goods in Year 1 under HC Liam Coen (260-1,107-7). The Clemson product landed with the Saints in free agency, giving him a solid OL and an ascending QB in Tyler Shough.",17
155,MIN,Jordan Addison,WR,8.12,6,24.2,195,532,880,"1,576","After sitting out three games with a suspension, Addison had two 100-yard performances in his first three games. However, poor QB play torpedoed Minnesota's offense and remains a major concern for the Vikings. Entering his fourth season, Addison remains a boom-or-bust weekly play, and his dynasty value is cloudy until the Vikings stabilize their QB position.",17
156,DEN,Riley Moss,DB,N/A,12,26.1,undefined,405,641,1075,,17
157,JAC,Foyesade Oluokun,LB,N/A,8,30.7,undefined,371,542,774,,17
158,SF,Fred Warner,LB,N/A,14,29.4,undefined,354,539,818,,17
159,PIT,D.K. Metcalf,WR,9.06,5,28.3,221,531,850,"1,467","Metcalf set career-low marks in targets (99), catches (59), and yards (850) in his first season in Pittsburgh. He still ranked 22nd with 12.5 PPR points per game and remained one of the best yards-after-catch WRs. Pittsburgh still has QB concerns, which makes Metcalf a somewhat risky option in dynasty, but he is still in his prime at 28.",16
160,ATL,Tua Tagovailoa,QB,12.12,5,28.1,98,687,"1,082","1,820","Tua was benched late in the 2025 season, extending a downward trend that began in 2024. Landing with the Falcons allows him a shot at making 2026 starts, especially with Michael Penix Jr. rehabbing an ACL tear. Still, we're unenthusiastic about Tua's dynasty outlook.",16
161,HOU,Jayden Higgins,WR,10.07,6,23.3,174,521,867,"1,611","Higgins only played 54% of Houston's snaps and averaged a paltry 5.4 PPR points per game in his first nine games, but he lived up to his second-round billing in the second half of the season. From Weeks 10-18, Higgins commanded a 17% target share and averaged 9.5 PPR points per game, 25th among all WRs. He's firmly entrenched as Houston's No. 2 WR heading into his sophomore campaign, making him a solid target in dynasty leagues.",16
162,CLE,Shedeur Sanders,QB,14.06,9,24.2,65,629,"1,063","2,052","Sanders generally underwhelmed across seven late-season starts. The rookie notched a 56.6% completion rate, 6.6 yards per attempt, and a 19.0 QBR. He recorded only one QB1 fantasy finish. Of course, Sanders wasn't surrounded by top talent. Now, we'll see how he's judged by a new coaching staff.",16
163,NYG,Isaiah Likely,TE,11.06,14,26,175,467,736,"1,277","A preseason foot fracture limited Likely early and cost him the first four games of the 2025 season. He continued to showcase athletic traits when healthy, but the production was very inconsistent (25-275-1). Likely joined HC John Harbaugh and the Giants in free agency, placing him in a lead TE role ahead of Theo Johnson. There's certainly TE1 potential here, especially if Jaxson Dart shows improvement.",16
164,LAR,Davante Adams,WR,9.09,8,33.3,236,577,795,"1,309","Adams had a marvelous 2025 before going down with a hamstring injury. He sat WR9 in PPR points per game and scored 14 TDs in only 14 games. Adams is signed through 2026 and will run it back with Matthew Stafford for another year. The veteran wideout should help contending teams, but he's certainly nearing the end of his career at 34 (in December).",16
165,RK,Eli Stowers,TE,11.10,18,23,135,447,763,"1,418","Stowers is a former QB converted to TE. He will be more slot WR than TE, sitting at 6'4, 235 pounds. He led Vanderbilt with 62 catches last year and was a reliable option for QB Diego Pavia. Stowers has elite explosiveness and short-area quickness, and that was reflected in his excellent Combine performance. He should sneak into Day 2 and become an impact fantasy player with enough playing time.",16
166,RK,Mansoor Delane,DB,N/A,18,22.3,undefined,402,661,1233,,16
167,KC,George Karlaftis,DL,35.12,10,25,undefined,366,615,1009,,16
168,BAL,Roquan Smith,LB,N/A,7,29,undefined,362,551,836,,16
169,DEN,Zach Allen,DL,N/A,12,28.6,undefined,401,594,828,,16
170,PIT,Michael Pittman Jr.,WR,10.09,5,28.5,210,527,843,"1,455","Pittman matched 2024's 111 targets but was much more productive in '25, snagging 11 more passes and scoring four more TDs. But he fell off down the stretch with QB Philip Rivers under center. In Indianapolis' final four games, Pittman averaged just 7.3 PPR points per game, third among the Colts' WRs. The offseason brought a trade to Pittsburgh, where he'll likely be the No. 2 option alongside DK Metcalf. It's a low-upside spot for immediate fantasy value, and the lack of a long-term answer at QB adds uncertainty.",15
171,IND,Alec Pierce,WR,8.06,11,25.9,200,535,848,"1,446","Pierce had his best season in 2025, going for 47-1003-6. He continued to produce even when Daniel Jones went down with an injury. Somewhat surprisingly, he returned to the Colts on a 4-year deal that includes a stunning $84 million in total guarantees. Michael Pittman's departure sets up Pierce for a larger role.",15
172,JAC,Brenton Strange,TE,10.01,8,25.3,191,456,725,"1,259","Strange replaced Evan Engram with success in HC Liam Coen's offense. A quad injury did sideline him for 6 games, but he finished the year with three top-7 TE performances in his last five games. Strange should be locked in as the TE starter going forward for Coen and the Jaguars, making him a solid young TE to roster at only 25 years old.",15
173,KC,Xavier Worthy,WR,11.08,10,22.9,185,509,846,"1,572","The sophomore slump hit Worthy hard in 2025. All of his numbers dropped significantly, and once Rashee Rice debuted in Week 7, Worthy failed to score a TD and was held under double-digit PPR points in eight of his final 10 outings. Additionally, QB Patrick Mahomes tore his ACL, and the Chiefs have several pending free agents in their offense. Worthy looks like a good bet to be one of Kansas City's top two WRs next season, but his immediate value is somewhat clouded by all the question marks surrounding the Chiefs.",15
174,RK,Jadarian Price,RB,9.07,18,22.5,146,369,605,929,"Price is a straightforward power runner who has a third gear for long TDs. He ran for 674 yards and 11 TDs this year while playing behind teammate Jeremiyah Love. Price's agility and ability to work through contact could make him an NFL starter. Price may be a better receiver than his numbers indicate, too.",15
175,SF,Mike Evans,WR,10.10,14,32.6,212,561,825,"1,316","Evans battled injuries in 2025 and lost his 1,000-yard receiving streak. He will turn 33 before next season, so Evans' career is certainly on the downside. That said, he landed in a fine spot for short-term production with the 49ers. They lost 101 targets via offseason departures.",15
176,DEN,Courtland Sutton,WR,11.03,12,30.5,204,536,839,"1,383","Sutton ended 2025 as the WR22 in PPR points per game, benefiting from a high-volume passing attack. He remains locked into the X role for HC Sean Payton, especially after signing a new deal that keeps him with the Broncos through 2029. At 31 in October, however, Sutton's likely closer to a decline than he is to his peak. Jaylen Waddle also arrived in an offseason deal, a move that figures to lower Sutton's target volume.",15
177,TEN,Wan'Dale Robinson,WR,9.02,10,25.3,192,517,829,"1,508","Robinson excelled after Malik Nabers' season ended early in 2025. Robinson finished WR17 in PPR points per game and had his second straight season with 140 targets. He signed with Tennessee in free agency, reuniting him with former HC Brian Daboll (now the Titans' OC). Don't expect 140 targets, but volume shouldn't be an issue in a wide-open Tennessee WR corps.",15
178,RK,Denzel Boston,WR,10.04,18,22.3,174,495,839,"1,636","Boston sat behind the trio of Rome Odunze, Ja'Lynn Polk, and Jalen McMillan in 2023, but the 6'4, 210-pound WR flashed in 2024. He had his best season this year as an X WR, going 63-834-9 on a Huskies team that prioritized the run. Boston is a unique WR in this class with his size, and he should have good workouts too. Expect him to be a top-50 pick.",15
179,DET,Terrion Arnold,DB,N/A,8,23,undefined,385,631,1139,,15
180,GB,Zaire Franklin,LB,N/A,5,29.8,undefined,366,547,810,,15
181,BUF,D.J. Moore,WR,8.05,7,29,195,533,834,"1,410","Moore was inconsistent under new HC Ben Johnson. He ended the season going 50-682-6, his worst fantasy output since 2018. GM Ryan Poles then traded Moore to the Bills in March. The 29-year-old should see greater target stability in Buffalo alongside Josh Allen. A WR2 season is within reach for 2026.",14
182,JAC,Travis Hunter,WR,10.03,8,22.9,100,515,873,"1,703","Just when Hunter finally had his breakout game (8/101/1) against the Rams, he suffered a knee injury in practice that ultimately ended his rookie campaign. That Week 7 game was his only performance with double-digit fantasy points. 37% of Hunter's snaps came as a CB, which will always be a concern. Additionally, the Jaguars traded for (and extended) Jakboi Meyers and also have Brian Thomas Jr. to syphon targets away from Hunter. Volume, usage, and now, injury, are all concerns for Hunter, making him a risk/reward WR3 in his second season.",14
183,PHI,Dallas Goedert,TE,14.04,9,31.3,199,463,712,"1,181","Goedert had a TD-heavy 2025 going 60-591-11. The Eagles schemed up red zone touches for him to score as much as he did, but that may not happen in the future. Goedert is set to be a free agent in 2026, but he is unlikely to find a better situation than the Eagles. He will be 31 heading into the 2026 season and may have peaked in terms of his fantasy output.",14
184,JAC,Bhayshul Tuten,RB,8.11,8,24.2,171,343,532,921,"Tuten carried the Virginia Tech offense for two years after transferring from North Carolina A&T. He showed excellent speed and vision while adding return value. He posted elite numbers at the NFL Combine as the fastest RB in the 40-yard dash, running a 4.32. He also had the best Vertical (40.5""). We saw his burst appear as a rookie, although he never overtook Travis Etienne as the lead back. There's a chance for a larger role in 2026 with Etienne in New Orleans, but the Jags may opt for a committee with Chris Rodriguez and LeQuint Allen.",14
185,CAR,Nic Scourton,DL,40.07,14,21.6,undefined,322,553,1113,,14
186,NO,Bryan Bresee,DL,N/A,11,24.5,undefined,345,572,1011,,14
187,CHI,D'Andre Swift,RB,9.03,5,27.3,222,395,486,666,"Swift's 2023 in Philly proved inconsistent, but he ultimately set career highs in touches and yardage. Chicago provided a fine free agent spot for volume, but a poorly orchestrated offense and a weak O-line limited the fantasy impact. The offensive infrastructure changed alongside new HC Ben Johnson in 2025. As a result, Swift rebounded to finish as the PPR RB14, despite the emergence of Kyle Monangai. The veteran is under contract for one more season.",13
188,PIT,Jaylen Warren,RB,10.08,5,27.4,212,359,521,726,"Najee Harris departed in free agency last spring. But Warren was far from a workhorse after free agent addition Kenneth Gainwell took on a larger-than-expected role. Warren still proved useful with a PPR RB18 finish in 16 games. Gainwell left in free agency, but the Steelers confirmed that they don't want Warren in a workhorse role by signing Rico Dowdle.",13
189,NYJ,Mason Taylor,TE,12.04,9,21.9,168,399,723,"1,427","Taylor saw playing time in his rookie season as the de facto starter for the Jets, although he only mustered 44-369-1. Neck and ankle injuries caused miss games during the season, but his playing time stayed high. While Geno Smith arrived to improve the QB spot, this passing game still profiles as a bottom-five unit.",13
190,LAR,Jared Verse,DL,9.05,8,25.4,undefined,337,566,928,,13
191,NO,Chase Young,DL,N/A,11,27,undefined,348,542,775,,13
192,ATL,Divine Deablo,LB,N/A,5,27.7,undefined,333,515,821,,13
193,TEN,Jeffery Simmons,DL,25.12,10,28.7,undefined,366,542,755,,13
194,TEN,Alontae Taylor,DB,N/A,10,27.3,undefined,382,605,996,,13
195,BUF,Maxwell Hairston,DB,N/A,7,22.7,undefined,380,621,1139,,13
196,KC,Chamarri Conner,DB,N/A,10,25.8,undefined,382,606,1006,,13
197,TB,Jacob Parrish,DB,N/A,9,22.1,undefined,380,630,1190,,13
198,GB,Matthew Golden,WR,11.04,5,22.7,156,485,810,"1,554","Golden had a disappointing rookie season as a first-round WR, finishing 2025 as WR113 in PPR points per game (5.0). Golden couldn't really crack a deep WR group but will get another opportunity in 2026, especially with Romeo Doubs in New England. The second-year pro turns just 23 before next season.",12
199,BUF,Khalil Shakir,WR,13.02,7,26.2,174,495,799,"1,456","Shakir ended last season as WR35 in PPR, with the Bills' inconsistent passing attack hurting his overall output. He's signed through 2029 and should be locked into the slot role moving forward. The issue is that his ceiling took a hit this offseason with the arrival of D.J. Moore. Based on his contract, the former Bear is likely to stick in Buffalo for at least two seasons.",12
200,SEA,Zach Charbonnet,RB,10.06,8,25.3,110,381,543,694,"Seattle made Charbonnet a surprising Round 2 pick, and his usage was predictably limited alongside Kenneth Walker in 2023. A 2024 breakout never truly came, although he showed workhorse potential in games missed by Walker. OC Klink Kubiak favored Charbonnet at the goal line in 2025, leading to a huge 12 rushing scores. A roadblock hit in the playoffs, as he suffered an ACL tear on January 18. His short-term value not only depends on his rehab trajectory but also on the moves Seattle makes in the backfield. So far, they've only added former Packer Emanuel Wilson.",12
201,NE,Romeo Doubs,WR,11.12,14,26,191,487,786,"1,432","Doubs continued his high snap counts as a starter in 2025, but the depth of the Packers' pass catchers limited the ceiling. Doubs posted 55-724-6, enough to make him a spot-start WR3/Flex. New England paid up for him in free agency: a 4-year deal with $39 million in total guarantees. He should be the target leader for Drake Maye in 2026.",12
202,RK,Mike Washington Jr.,RB,11.11,18,22.8,127,330,525,931,"Washington finally broke out in his final season after transferring from Buffalo to Arkansas. He is a big, between-the-tackles back who churns his legs to pick up extra yards on every run. He showcased good vision and cutback ability, but didn't display much big-play upside. There's a chance he gets into Round 3 of the NFL Draft.",12
203,RK,Jonah Coleman,RB,12.02,18,22.6,144,348,548,771,"Coleman scored 17 total TDs this season as the focal point of the Washington offense. He is on the shorter end, but at 220 pounds, Coleman is a punishing rusher with a low pad level. He is also a strong receiver for his size. Coleman didn't test at the Combine, but nobody will mistake him for a burner. Round 3 draft capital would be a nice outcome here.",12
204,SEA,Devon Witherspoon,DB,N/A,8,25.3,undefined,377,597,1028,,12
205,CHI,T.J. Edwards,LB,N/A,5,29.7,undefined,335,501,742,,12
206,ARI,Will Johnson,DB,N/A,8,23,undefined,379,620,1121,,12
207,NO,Kaden Elliss,LB,N/A,11,30.8,undefined,345,505,721,,12
208,ATL,Xavier Watts,DB,N/A,5,24.3,undefined,367,604,1081,,12
209,UNS,David Njoku,TE,16.06,18,29.8,148,451,756,"1,166","Njoku split time early in the season with rookie Harold Fannin Jr., but the writing was on the wall in the final year of his contract. Njoku eventually slotted behind Fannin and finished the season with 33-293-4. He enters his age-30 season looking for a new team.",11
210,NO,Juwan Johnson,TE,12.09,11,29.6,192,450,701,"1,128","Johnson had a career year in 2025, posting 74-828-3 on 97 targets during the fantasy season. With Shough showing promise as the starter, Johnson should retain streaming value in the short term. We're not concerned with the arrival of Noah Fant via free agency.",11
211,TB,Chris Godwin,WR,12.08,9,30.1,190,510,788,"1,281","Godwin suffered a dislocated ankle that cost him most of the 2024 season. He returned a few weeks into the 2025 season but finished WR54 in PPR points per game. Godwin, now 30, should have a larger role in 2026 with Mike Evans in San Francisco.",11
212,NE,Rhamondre Stevenson,RB,12.01,14,28.1,188,334,521,706,"Stevenson was held back by a poor O-line and fumbles in 2024. Then in 2025, his workload predictably dipped following the arrival of TreVeyon Henderson. However, the veteran still posted the second-best PPR points per game tally of his career (12.9). Stevenson is under contract for three more seasons.",11
