Rank,Team,Player,Fantsy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
125,RK,Denzel Boston,WR,10.04,18,22.3,0,358.00,606.00,1182.00,"Boston sat behind the trio of Rome Odunze, Ja'Lynn Polk, and Jalen McMillan in 2023, but the 6'4, 210-pound WR flashed in 2024. He had his best season this year as an X WR, going 63-834-9 on a Huskies team that prioritized the run. Boston is a unique WR in this class with his size, and he should have good workouts too. Expect him to be a top-50 pick.",27.70
126,TB,Tykee Smith,DB,N/A,9,25.2,0,475.00,764.00,1317.00,"",27.60
127,IND,Alec Pierce,WR,8.06,11,25.9,0,375.00,595.00,1015.00,"Pierce had his best season in 2025, going for 47-1003-6. He continued to produce even when Daniel Jones went down with an injury. Somewhat surprisingly, he returned to the Colts on a 4-year deal that includes a stunning $84 million in total guarantees. Michael Pittman's departure sets up Pierce for a larger role. ",27.40
128,DEN,RJ Harvey,RB,7.10,12,25.2,0,405.00,577.00,738.00,"Harvey was a surprise second-round pick, but two straight years of 1,400 rushing yards and good receiving skills made him a fit for HC Sean Payton’s offense. His workload increased after J.K. Dobbins sustained a mid-season injury, and the rookie showed well with 12 total scores. Long-term, we don't expect Harvey to become a workhorse. In the short term, he figures to remain in a split backfield alongside Dobbins.",27.40
129,DAL,Javonte Williams,RB,6.10,10,25.9,0,368.00,524.00,670.00,"Williams delivered a bounce-back season with Dallas in 2025. He recorded career highs in carries (252), yards (1,201), yards per carry (4.8), and TDs (11). Williams signed a three-year deal with Dallas ahead of free agency, tying him to the team through the 2028 season.",27.30
130,RK,Jadarian Price,RB,9.07,18,22.5,0,356.00,582.00,894.00,"Price is a straightforward power runner who has a third gear for long TDs. He ran for 674 yards and 11 TDs this year while playing behind teammate Jeremiyah Love. Price's agility and ability to work through contact could make him an NFL starter. Price may be a better receiver than his numbers indicate, too.",27.30
131,SF,Mike Evans,WR,10.10,14,32.6,0,392.00,576.00,919.00,"Evans battled injuries in 2025 and lost his 1,000-yard receiving streak. He will turn 33 before next season, so Evans' career is certainly on the downside. That said, he landed in a fine spot for short-term production with the 49ers. They lost 101 targets via offseason departures. ",27.10
132,RK,Ty Simpson,QB,10.12,18,23.3,0,681.00,1155.00,2285.00,"Simpson flashed elite ball placement and mechanics at Alabama, but heading into the NFL Draft with only 15 starts is concerning. He threw for 3,567 yards with 28 TDs and 5 INTs this past season. Simpson has a good pocket presence and scrambling abilities, but his lack of experience shows in holding onto the ball too long. He could go in the first round or fall to Day 2, making him a risky bet.",27.00
133,DEN,Courtland Sutton,WR,11.03,12,30.5,0,379.00,594.00,978.00,"Sutton ended 2025 as the WR22 in PPR points per game, benefiting from a high-volume passing attack. He remains locked into the X role for HC Sean Payton, especially after signing a new deal that keeps him with the Broncos through 2029. At 31 in October, however, Sutton's likely closer to a decline than he is to his peak. Jaylen Waddle also arrived in an offseason deal, a move that figures to lower Sutton's target volume.",27.00
134,HOU,Jayden Higgins,WR,10.07,6,23.3,0,358.00,595.00,1106.00,"Higgins only played 54% of Houston's snaps and averaged a paltry 5.4 PPR points per game in his first nine games, but he lived up to his second-round billing in the second half of the season. From Weeks 10-18, Higgins commanded a 17% target share and averaged 9.5 PPR points per game, 25th among all WRs. He's firmly entrenched as Houston's No. 2 WR heading into his sophomore campaign, making him a solid target in dynasty leagues. ",27.00
135,BUF,D.J. Moore,WR,8.05,7,29,0,375.00,587.00,992.00,"Moore was inconsistent under new HC Ben Johnson. He ended the season going 50-682-6, his worst fantasy output since 2018. GM Ryan Poles then traded Moore to the Bills in March. The 29-year-old should see greater target stability in Buffalo alongside Josh Allen. A WR2 season is within reach for 2026.",26.90
136,NO,Kool-Aid McKinstry,DB,N/A,11,23.5,0,472.00,751.00,1326.00,"",26.80
137,GB,Jayden Reed,WR,12.03,5,25.9,0,373.00,589.00,1003.00,"Reed only played seven games in 2025 due to multiple injuries, so he never broke out for a deep WR group. When active, he tallied only two top-36 fantasy finishes. 2026 turns up a contract season -- and a thinned-out WR corps following the departure of Romeo Doubs.",26.80
138,KC,Xavier Worthy,WR,11.08,10,22.9,0,349.00,581.00,1080.00,"The sophomore slump hit Worthy hard in 2025. All of his numbers dropped significantly, and once Rashee Rice debuted in Week 7, Worthy failed to score a TD and was held under double-digit PPR points in eight of his final 10 outings. Additionally, QB Patrick Mahomes tore his ACL, and the Chiefs have several pending free agents in their offense. Worthy looks like a good bet to be one of Kansas City's top two WRs next season, but his immediate value is somewhat clouded by all the question marks surrounding the Chiefs.  ",26.70
139,NO,Travis Etienne,RB,7.01,11,27.2,0,389.00,469.00,658.00,"Etienne missed time with a hamstring in 2024 and was outplayed by Tank Bigsby for parts of the season. Come 2025, Etienne watched Bigbsy depart via a September trade. While rookie Bhayshul Tuten replaced Bigsby as a rotational piece, Etienne still delivered the goods in Year 1 under HC Liam Coen (260-1,107-7). The Clemson product landed with the Saints in free agency, giving him a solid OL and an ascending QB in Tyler Shough.",26.50
140,BAL,Mark Andrews,TE,13.09,7,30.6,0,295.00,467.00,805.00,"Andrews signed a three-year extension with the Ravens during the 2025 season, locking him into the team for the foreseeable future. With Isaiah Likely out of town, Andrews should be able to gain TE1 value in the short term. Note that 2026 will be his age-31 season.",26.40
141,JAC,Brenton Strange,TE,10.01,8,25.3,0,292.00,464.00,805.00,"Strange replaced Evan Engram with success in HC Liam Coen's offense. A quad injury did sideline him for 6 games, but he finished the year with three top-7 TE performances in his last five games. Strange should be locked in as the TE starter going forward for Coen and the Jaguars, making him a solid young TE to roster at only 25 years old.",26.40
142,NYJ,Mason Taylor,TE,12.04,9,21.9,0,261.00,473.00,934.00,"Taylor saw playing time in his rookie season as the de facto starter for the Jets, although he only mustered 44-369-1. Neck and ankle injuries caused miss games during the season, but his playing time stayed high. While Geno Smith arrived to improve the QB spot, this passing game still profiles as a bottom-five unit.",26.30
143,CHI,Devin Bush,LB,N/A,5,27.8,0,420.00,648.00,1035.00,"",26.20
144,PHI,Dallas Goedert,TE,14.04,9,31.3,0,297.00,456.00,757.00,"Goedert had a TD-heavy 2025 going 60-591-11. The Eagles schemed up red zone touches for him to score as much as he did, but that may not happen in the future. Goedert is set to be a free agent in 2026, but he is unlikely to find a better situation than the Eagles. He will be 31 heading into the 2026 season and may have peaked in terms of his fantasy output.",26.20
145,ATL,Michael Penix Jr.,QB,13.05,5,25.9,0,689.00,1125.00,2118.00,"Penix dealt with four season-ending injuries during his time at Indiana (two shoulder injuries and two ACL tears). Healthy at Washington over his final two college seasons, Penix displayed effortless arm strength and excellent decision-making. As a rookie, he displayed a downfield, attacking style in a brief late-season sample. But his 2025 ended with a mid-season ACL tear. While Penix may remain Atlanta's starter in 2026, he's yet to establish himself as the long-term answer.",25.90
146,CLE,Shedeur Sanders,QB,14.06,9,24.2,0,672.00,1136.00,2194.00,"Sanders generally underwhelmed across seven late-season starts. The rookie notched a 56.6% completion rate, 6.6 yards per attempt, and a 19.0 QBR. He recorded only one QB1 fantasy finish. Of course, Sanders wasn't surrounded by top talent. Now, we'll see how he's judged by a new coaching staff.",25.80
147,LAR,Davante Adams,WR,9.09,8,33.3,0,380.00,524.00,863.00,"Adams had a marvelous 2025 before going down with a hamstring injury. He sat WR9 in PPR points per game and scored 14 TDs in only 14 games. Adams is signed through 2026 and will run it back with Matthew Stafford for another year. The veteran wideout should help contending teams, but he's certainly nearing the end of his career at 34 (in December).",25.80
148,GB,Matthew Golden,WR,11.04,5,22.7,0,340.00,567.00,1089.00,"Golden had a disappointing rookie season as a first-round WR, finishing 2025 as WR113 in PPR points per game (5.0). Golden couldn't really crack a deep WR group but will get another opportunity in 2026, especially with Romeo Doubs in New England. The second-year pro turns just 23 before next season.",25.70
149,NE,Hunter Henry,TE,15.07,14,31.3,0,290.00,446.00,739.00,"Henry went 55-712-7 during the 2025 fantasy season, living on his ability to score TDs. He turns 32 during a contract season in 2026 but remains a short-term streamer.",25.40
150,ATL,Tua Tagovailoa,QB,12.12,5,28.1,0,718.00,1131.00,1902.00,"Tua was benched late in the 2025 season, extending a downward trend that began in 2024. Landing with the Falcons allows him a shot at making 2026 starts, especially with Michael Penix Jr. rehabbing an ACL tear. Still, we're unenthusiastic about Tua's dynasty outlook.",25.40
151,PIT,Michael Pittman Jr.,WR,10.09,5,28.5,0,349.00,559.00,964.00,"Pittman matched 2024's 111 targets but was much more productive in '25, snagging 11 more passes and scoring four more TDs. But he fell off down the stretch with QB Philip Rivers under center. In Indianapolis' final four games, Pittman averaged just 7.3 PPR points per game, third among the Colts' WRs. The offseason brought a trade to Pittsburgh, where he'll likely be the No. 2 option alongside DK Metcalf. It's a low-upside spot for immediate fantasy value, and the lack of a long-term answer at QB adds uncertainty.",25.40
152,LAR,Terrance Ferguson,TE,14.07,8,23.1,0,280.00,477.00,887.00,"Ferguson showed a late-season surge with Davante Adams sidelined. The Rams seem intent on using the young TE as a pseudo WR, which is great for his fantasy potential. Still, uncertainty at QB and a crowded TE depth chart mean dynasty managers will need patience.",25.30
153,LAC,Quentin Johnston,WR,11.02,12,24.6,0,332.00,545.00,1019.00,"Johnston proved 2024 wasn't a fluke. He matched his eight TDs and set career-best marks in receiving yards (735) and PPR points per game (12.4). He did so despite ranking just 41st league-wide in target share (19%). We'll see how he fits in new OC Mike McDaniels' offense, but there's room for an expanded role with Keenan Allen likely moving on. ",25.30
154,MIA,Tyrel Dodson,LB,N/A,12,27.8,0,414.00,640.00,1021.00,"",25.10
155,NE,Romeo Doubs,WR,11.12,14,26,0,337.00,543.00,990.00,"Doubs continued his high snap counts as a starter in 2025, but the depth of the Packers' pass catchers limited the ceiling. Doubs posted 55-724-6, enough to make him a spot-start WR3/Flex. New England paid up for him in free agency: a 4-year deal with $39 million in total guarantees. He should be the target leader for Drake Maye in 2026.",25.10
156,SEA,AJ Barner,TE,13.01,8,23.9,0,286.00,463.00,830.00,"Barner played ahead of rookie Elijah Arroyo in 2025, but the young athlete may pass Barner sooner rather than later. Barner, only 24, should still remain on dynasty rosters while this situation plays out under new OC Brian Fleury.",25.00
157,UNS,Brandon Aiyuk,WR,13.11,18,28.1,0,344.00,551.00,951.00,"Aiyuk didn't play in 2025 after an ACL, MCL, and meniscus injury in 2024. The 49ers and Aiyuk may sever ties heading into 2026, and he should be fully healthy on a new squad. Aiyuk already disappointed in 2024 before the injury and is heading into his age-28 season. It appears unlikely he turns into a top-12 fantasy WR again.",24.90
158,UNS,David Njoku,TE,16.06,18,29.8,0,289.00,484.00,747.00,"Njoku split time early in the season with rookie Harold Fannin Jr., but the writing was on the wall in the final year of his contract. Njoku eventually slotted behind Fannin and finished the season with 33-293-4. He enters his age-30 season looking for a new team.",24.60
159,RK,Chris Bell,WR,16.07,18,22.1,0,326.00,552.00,1062.00,"Bell has been at Louisville his entire career and has shown improvement every season over his four years. He is a hefty 220 pounds and can box out defenders to make contested catches. He went 72-917-6 last season, including a dominant 9-136-2 game against Miami. Bell profiles as a No. 2 WR in the NFL who can flash for some big games.",24.60
160,DET,Aidan Hutchinson,DL,N/A,8,25.7,0,468.00,772.00,1176.00,"",24.50
161,TB,Jalen McMillan,WR,13.06,9,24.3,0,326.00,556.00,1013.00,"McMillan missed most of 2025 with a neck injury, but he returned late to post 7-114-0 against the Dolphins. His short-term outlook improved significantly after Mike Evans signed a multi-year deal in San Francisco.",24.50
162,JAC,Bhayshul Tuten,RB,8.11,8,24.2,0,308.00,478.00,828.00,"Tuten carried the Virginia Tech offense for two years after transferring from North Carolina A&T. He showed excellent speed and vision while adding return value. He posted elite numbers at the NFL Combine as the fastest RB in the 40-yard dash, running a 4.32. He also had the best Vertical (40.5""). We saw his burst appear as a rookie, although he never overtook Travis Etienne as the lead back. There's a chance for a larger role in 2026 with Etienne in New Orleans, but the Jags may opt for a committee with Chris Rodriguez and LeQuint Allen.",24.50
163,MIN,T.J. Hockenson,TE,14.05,6,28.8,0,284.00,441.00,743.00,"Hockenson's best days are behind him as he heads into his age-29 season. The Vikings at least added talent at QB, signing Kyler Murray after enduring a brutal 2025 under J.J. McCarthy. ",24.30
164,MIN,Blake Cashman,LB,N/A,6,29.9,0,406.00,607.00,900.00,"",24.10
165,ARI,Michael Wilson,WR,8.07,8,26.1,0,338.00,535.00,913.00,"Wilson had a marvelous late-season surge when Marvin Harrison Jr. went down and Jacoby Brissett started at QB. He ended 2025 at WR10 in PPR, going 78-1006-7. We're not doubting the talent here. But the issue is the outlook for Wilson when this offense is healthy. He's also entering a contract season.",24.10
166,KC,Travis Kelce,TE,15.01,10,36.5,0,300.00,415.00,669.00,"With the Chiefs' offense taking a step back in 2005, Kelce felt the sting. He finished with 73-839-5 on his fantasy season, his lowest reception total since 2015. In March, we learned that he'd return for his 14th season in Kansas City. He's now year-to-year, making him a shaky dynasty asset.",24.00
167,TEN,Gunnar Helm,TE,14.10,10,23.6,0,263.00,448.00,833.00,"Helm flashed at times during his rookie season, though he still sat behind Chig Okonkwo for most of the year. With Okonkwo leaving in free agency, Helm looked to be in a nice spot for spot-start fantasy value in 2026. That still may be the case, but Tennessee added former Giants TE Daniel Bellinger in free agency on a three-year deal with $14 million guaranteed. ",24.00
168,SEA,Elijah Arroyo,TE,19.08,8,23,0,274.00,471.00,882.00,"Arroyo had a few flashes in his rookie season, but he was never able to rise past A.J. Barner on the depth chart. Arroyo finished the season at 15-179-1, missing the last few games with a knee injury. Still, at only 23, his athletic upside makes him a dynasty hold.",24.00
169,JAC,Jakobi Meyers,WR,11.07,8,29.4,0,355.00,538.00,813.00,"Meyers moved from the Raiders to the Jaguars at the 2025 trade deadline, and he instantly excelled in HC Liam Coen's offense. Meyers' success led to the team signing him to a 3-year, $60 million contract extension. We'll see how the team deploys Travis Hunter, but Meyers' deal and production say he's a strong contender to lead this unit in 2026.",24.00
170,HOU,David Montgomery,RB,9.12,6,28.8,0,307.00,460.00,773.00,"Montgomery's rushing yardage (716), TD output (8), and catch total (24) regressed in 2025. This, despite appearing in 17 games for the first time in his career. Ultimately, Montgomery's best fantasy days are behind him. He's signed through 2027.",24.00
171,TB,Chris Godwin,WR,12.08,9,30.1,0,345.00,533.00,866.00,"Godwin suffered a dislocated ankle that cost him most of the 2024 season. He returned a few weeks into the 2025 season but finished WR54 in PPR points per game. Godwin, now 30, should have a larger role in 2026 with Mike Evans in San Francisco. ",23.90
172,CHI,D'Andre Swift,RB,9.03,5,27.3,0,347.00,427.00,585.00,"Swift's 2023 in Philly proved inconsistent, but he ultimately set career highs in touches and yardage. Chicago provided a fine free agent spot for volume, but a poorly orchestrated offense and a weak O-line limited the fantasy impact. The offensive infrastructure changed alongside new HC Ben Johnson in 2025. As a result, Swift rebounded to finish as the PPR RB14, despite the emergence of Kyle Monangai. The veteran is under contract for one more season.",23.80
173,RK,Chris Brazzell II,WR,16.03,18,21.6,0,318.00,538.00,1069.00,"Brazzell struggled in 2024, but the 6'5 WR emerged as the top threat on Tennessee in 2025. He went 62-1017-9, often working downfield. His rare blend of height and speed gives Brazzell plenty of upside, but he lacks the nuanced route running and can short-arm catches. Brazzell has a high ceiling and a low floor.",23.80
174,MIN,J.J. McCarthy,QB,13.07,6,23.2,0,680.00,1136.00,2215.00,"McCarthy wasn’t asked to carry a Michigan squad led by a strong defense and run game. Still, the two-year starter flashed a power arm and the ability to execute pro-style concepts under HC Jim Harbaugh. 2024 was a developmental year on IR, while the 22-year-old performed as a below-average starter in a limited '25 sample. There's a real chance he's not starting in 2026.",23.70
175,RK,Germie Bernard,WR,19.09,18,22.3,0,321.00,537.00,1047.00,"Bernard followed HC Kalen DeBoer from Washington to Alabama. He had his best season in 2025 at 64-862-7. Bernard has good size and hands as a savvy route runner who works in the slot and outside. He may not have No. 1 WR upside, but Bernard can be a fantasy WR3 in time.",23.70
176,HOU,Dalton Schultz,TE,15.06,6,29.8,0,282.00,439.00,707.00,"Schultz had one of his best years in 2026, going 78-704-3 during the fantasy season. He posted the most targets of his career at 106. Schultz is locked into the Texans and QB C.J. Stroud for one more season. He should be a suitable low-end TE1 for 2026, but the future is cloudy beyond that.",23.60
177,RK,Mike Washington Jr.,RB,11.11,18,22.8,0,302.00,481.00,853.00,"Washington finally broke out in his final season after transferring from Buffalo to Arkansas. He is a big, between-the-tackles back who churns his legs to pick up extra yards on every run. He showcased good vision and cutback ability, but didn't display much big-play upside. There's a chance he gets into Round 3 of the NFL Draft.",23.50
178,JAC,Parker Washington,WR,10.02,8,24,0,301.00,513.00,934.00,"Washington was successful when injuries hit the Jaguars' WR corps. Including the postseason, he ended 2025 with four straight games of 9+ targets and 87+ yards. He'd benefit from the Jags making Travis Hunter anything close to a full-time DB. Still, there's starting-caliber talent in the WR room with Jakobi Meyers and Brian Thomas Jr. The Jags signed Meyers to an extension through the 2028 season.",23.30
179,BUF,Khalil Shakir,WR,13.02,7,26.2,0,321.00,519.00,945.00,"Shakir ended last season as WR35 in PPR, with the Bills' inconsistent passing attack hurting his overall output. He's signed through 2029 and should be locked into the slot role moving forward. The issue is that his ceiling took a hit this offseason with the arrival of D.J. Moore. Based on his contract, the former Bear is likely to stick in Buffalo for at least two seasons.",23.30
180,RK,Antonio Williams,WR,18.09,18,21.8,0,320.00,536.00,1061.00,"Williams looked like a top WR after he led Clemson in receiving as a true freshman in 2022. But lower body injuries in 2023 derailed him before a 74-904-11 season in 2024. Clemson's weak pass offense hurt Williams in 2025, but he is a versatile WR with good route running and hands. Round 2 draft capital is in play here.",23.30
181,WAS,Chigoziem Okonkwo,TE,15.11,12,26.6,0,281.00,434.00,748.00,"Okonkwo posted five top-12 fantasy finishes in 2025, his final year in Tennessee. He set career highs in targets (79), catches (56) and yards (560) but remained an underwhelming TD producer (2). He also played all 17 games for the fourth straight season. In Washington, he'll have a chance to boost production for an offense that's moving on from Zach Ertz.",23.20
182,UNS,Stefon Diggs,WR,17.08,18,32.3,0,348.00,511.00,815.00,"Diggs had a resurgence with the Patriots and Drake Maye in 2025, dropping 85-1013-4 in his age-32 season. But he was released by the team over the winter, as his cap figure and pending legal case sparked the move. He may not sign until the summer. ",23.20
183,SEA,Rashid Shaheed,WR,15.02,8,27.6,0,328.00,525.00,933.00,"Shaheed wasn't a fantasy option after arriving via a mid-season trade. Including the postseason, he topped two catches in only two of 12 games. Seattle showed their faith in him with a new contract: 3 years, $51 million, and nearly $35 million guaranteed. He projects as a volatile WR4 alongside a target hog in Jaxon Smith-Njigba.",23.20
184,RK,Zachariah Branch,WR,14.08,18,22,0,310.00,525.00,1009.00,"Branch is an intriguing prospect. The former five-star recruit is a jack-of-all-trades at 5'10, 180 pounds. He flashed at USC but transferred to Georgia to have his best season yet. Branch went 81-811-6 for the Dawgs. He also is one of the best returners in the country. Elite speed and explosiveness could make Branch a great weapon, though his size may limit how much he is utilized as a top offensive threat. ",23.10
185,RK,Elijah Sarratt,WR,13.08,18,22.8,0,309.00,524.00,1003.00,"Sarratt flashed in 2024 going 53-957-8. He missed a few games due to a hamstring injury, but he did score 13 TDs in 2025 with Fernando Mendoza at QB. Sarratt has high-end size at 6'2, 213 pounds. His high pointing is among the best in the class. Sarratt should be a consistent NFL WR though he may never be the top weapon for a team.",23.10
186,NYG,Tremaine Edmunds,LB,N/A,14,27.9,0,400.00,618.00,986.00,"",23.00
187,ARI,Tyler Allgeier,RB,11.01,8,26,0,299.00,469.00,751.00,"Allgeier has proven effective as an early-down thumper, but Bijan Robinson capped the fantasy ceiling in Atlanta. He’s now out of Bijan’s shadow in Arizona, though the offensive environment looks worse. Allgeier is under contract through the 2027 season.",23.00
188,LAC,Tre Harris,WR,14.09,12,24.1,0,322.00,533.00,954.00,"Harris struggled to crack the lineup early in his rookie season with Ladd McConkey, Keenan Allen, and Quentin Johnston in front of him. Harris' usage at least increased late in the year, while Allen's departure sets the stage for most consistent usage. Allen leaves behind 122 targets.",23.00
189,PIT,Pat Freiermuth,TE,17.12,5,27.4,0,268.00,428.00,783.00,"Freiermuth had an uneven year in 2025 while sharing snaps and targets with Darnell Washington and Jonnu Smith. Freiermuth ended with 38-435-4, good for TE26 in fantasy points per game. There's some hope for a bounce back, as Jonnu Smith left via free agency. Pittsburgh's pass volume should also tick up under new HC Mike McCarthy.",22.90
190,MIN,Jordan Mason,RB,14.12,6,26.8,0,312.00,461.00,679.00,"Mason recorded 4.8 YPC on 159 attempts as a first-year Viking. He was a non-factor in the passing game (14 catches, 51 yards). His short-term upside remains limited with Aaron Jones returning for another season.",22.90
191,CAR,Chuba Hubbard,RB,10.11,14,26.8,0,318.00,461.00,643.00,"Hubbard set career highs with 250 carries, 1,195 yards, and 10 TDs in 2024. Carolina rewarded him with a contract extension that November, but 2025 wasn't as fantasy-friendly. New Panther Rico Dowdle became a major backfield piece, limiting Hubbard to an RB38 PPR finish. Just note: Dowdle left for Pittsburgh in free agency. We'll see if Carolina adds another RB to join Hubbard and former Round 2 pick Jonathon Brooks. ",22.90
192,BAL,Kyle Hamilton,DB,N/A,7,25.1,0,443.00,709.00,1220.00,"",22.80
193,LAR,Blake Corum,RB,11.05,8,25.3,0,310.00,472.00,726.00,"Corum's rookie year came and went without much fanfare, as Kyren Williams remained a workhorse. Corum also suffered a broken forearm in January of 2025. The good news is that he earned a rotational role last fall, leading to a 145-746-6 rushing line. We expect a similar role in '26.",22.70
194,CHI,Kyle Monangai,RB,9.08,5,24.1,0,291.00,450.00,790.00,"Monangai posted two straight 1,200+ rushing yard seasons for a Rutgers offense that worked through him. His college tape showed a tough runner with a low pad level who works well through contact. Has also flashed on some outside runs. Those traits appeared with the Bears, as he quickly entered a timeshare with D'Andre Swift. Monangai looks poised to retain a rotational role for a young, high-upside offense in 2026.",22.70
195,ARI,Trey Benson,RB,13.12,8,23.7,0,316.00,493.00,763.00,"Benson’s college career started ominously with a multi-ligament knee tear at Oregon (2020). Transferring to Florida State in 2022, the 6’0, 216-pounder showcased an ideal blend of power and speed. That carried over to the Combine, where he posted an elite 9.78 Relative Athletic Score. He entered the league with plenty of tread on his tires after tallying 156 and 154 carries over his final two college seasons, but a healthy James Conner limited the rookie’s impact. Then in 2025, Benson missed all but 4 games with a knee injury. He'll break in a new coaching staff in 2026 and needs to earn a backfield role.",22.70
196,TEN,Wan'Dale Robinson,WR,9.02,10,25.3,0,310.00,497.00,904.00,"Robinson excelled after Malik Nabers' season ended early in 2025. Robinson finished WR17 in PPR points per game and had his second straight season with 140 targets. He signed with Tennessee in free agency, reuniting him with former HC Brian Daboll (now the Titans' OC). Don't expect 140 targets, but volume shouldn't be an issue in a wide-open Tennessee WR corps.",22.70
197,RK,Ja'Kobi Lane,WR,18.01,18,21.7,0,309.00,518.00,1024.00,"Lane took a back seat to teammate Makai Lemon, but don't overlook the production here. He went 49-745-4 in 2025, following up a 12 TD season in 2024. The 6'4, 195-pound WR explodes off the line and uses his length to beat the press. Lane has good downfield speed to catch the deep ball, too. He could be a sleeper if he falls to Day 3. ",22.70
198,NE,Rhamondre Stevenson,RB,12.01,14,28.1,0,300.00,467.00,634.00,"Stevenson was held back by a poor O-line and fumbles in 2024. Then in 2025, his workload predictably dipped following the arrival of TreVeyon Henderson. However, the veteran still posted the second-best PPR points per game tally of his career (12.9). Stevenson is under contract for three more seasons.",22.60
199,RK,Emmett Johnson,RB,14.01,18,22.5,0,304.00,494.00,750.00,"Johnson was a 2026 surprise. He ran for 1,451 yards and 12 TDs, averaging 5.78 yards per carry. He has also caught 85 passes over the last two years. Johnson can be a PPR difference maker with his pass-catching and shiftiness in the open field. He weighed in at just 202 pounds at the NFL Combine, but Johnson can be a lead back in the right offense.",22.60
200,HOU,Will Anderson Jr.,DL,N/A,6,24.6,0,439.00,737.00,1207.00,"",22.50
201,RK,Jonah Coleman,RB,12.02,18,22.6,0,307.00,485.00,682.00,"Coleman scored 17 total TDs this season as the focal point of the Washington offense. He is on the shorter end, but at 220 pounds, Coleman is a punishing rusher with a low pad level. He is also a strong receiver for his size. Coleman didn't test at the Combine, but nobody will mistake him for a burner. Round 3 draft capital would be a nice outcome here.",22.50
202,CAR,Jalen Coker,WR,12.05,14,24.4,0,304.00,519.00,944.00,"A quad injury put Coker on IR to start the 2025 season, but he succeeded when he returned. In 11 games, he went 33-394-3. Coker proved he is an ideal slot WR and played over Xavier Legette upon returning. He also made Adam Thielen expendable. Coker could retain his role going forward and be a fantasy spot-starter.",22.50
203,DEN,Nik Bonitto,DL,N/A,12,26.5,0,419.00,651.00,931.00,"",22.40
204,LAR,Nathan Landman,LB,N/A,8,27.4,0,399.00,624.00,1029.00,"",22.40
205,LAR,Colby Parkinson,TE,20.07,8,27.3,0,279.00,432.00,744.00,"In 2025, Parkinson had a strong second half as a red zone target for Matthew Stafford. But the TE will be in a crowded situation next season as he competes with Terrance Ferguson for playing time. Parkinson is under contract for one more season.",22.40
206,DEN,J.K. Dobbins,RB,12.11,12,27.3,0,294.00,418.00,699.00,"2024 marked Dobbins’ return from an Achilles tear. He slowed down after a hot start, ultimately missing four games with an MCL sprain. In Denver, the 26-year-old landed in a fine spot for 2025 opportunity. But he suffered a notable injury again, this time a Lisfranc injury that required surgery. He signed a new deal with the Broncos in March, but durability concerns remain.",22.30
207,HOU,Jaylin Noel,WR,17.11,6,23.6,0,304.00,514.00,984.00,"Noel flashed as a rookie when allowed to play in the slot. He went 26-292-2 in a part-time role. The Texans will likely move forward with Noel as the slot WR in 2026, but questions about C.J. Stroud -- plus the presence of Nico Collins and Jayden Higgins -- cloud the upside.",22.30
208,DEN,Pat Bryant,WR,15.03,12,23.3,0,303.00,519.00,1000.00,"Bryant's snap share picked up as his rookie season wore on. Still, he topped 50 yards only once for an offense that lacked a consistent presence behind Courtland Sutton. Bryant's breakout path is blocked by the addition of Jaylen Waddle, who's signed through the 2028 season.",22.30
209,NYG,Theo Johnson,TE,15.05,14,25.1,0,286.00,454.00,789.00,"Johnson was a surprise in 2025, scoring 5 TDs in his first 9 games of the season. He eventually cooled off, hurt by missed time from Jaxson Dart. But the real issue here is the arrival of TE Isaiah Likely, who joins new HC John Harbaugh from Baltimore. While Johnson remains intriguing from an athleticism perspective, his short-term target outlook takes a hit.",22.10
210,NYJ,Adonai Mitchell,WR,17.03,9,23.5,0,295.00,510.00,962.00,"Mitchell was traded from the Colts to the Jets and immediately made an impact on the weak WR unit. He finished the season with 33-453-2 and may have played his way into a role with the Jets in 2026. He's worth rostering as a dynasty stash. The former Longhorn turns just 24 in October.",22.10
211,DAL,DeMarvion Overshown,LB,N/A,10,25.7,0,380.00,602.00,1025.00,"",22.00
212,TB,Cade Otton,TE,18.04,9,27,0,268.00,422.00,732.00,"Otton finished at TE29 in PPR points per game last season. The team showed they valued him with a new three-year deal worth $20 million guaranteed, but that doesn't bolster his fantasy prospects. The 27-year-old remains a low-ceiling dynasty asset.",22.00
213,PIT,Jaylen Warren,RB,10.08,5,27.4,0,298.00,432.00,602.00,"Najee Harris departed in free agency last spring. But Warren was far from a workhorse after free agent addition Kenneth Gainwell took on a larger-than-expected role. Warren still proved useful with a PPR RB18 finish in 16 games. Gainwell left in free agency, but the Steelers confirmed that they don't want Warren in a workhorse role by signing Rico Dowdle.",22.00
214,TEN,Tony Pollard,RB,14.11,10,28.9,0,314.00,459.00,585.00,"Pollard earned the franchise tag in March of '23, then watched Dallas release veteran Zeke Elliott. Still, coming off a January fibula fracture, Pollard took a major step back. Pollard rebounded in 2024, outplaying Tyjae Spears and playing through injuries to post his third straight 1,000-yard season. Pollard closed the '25 season strong but struggled with consistency on a bottom-five offense. 2026 turns up a contract year.",22.00
